abbr,full,dblp_uri,rank
TEC,IEEE Transactions on Evolutionary Computation,journals/tec,B
TFS,IEEE Transactions on Fuzzy Systems,journals/tfs,B
TNNLS,IEEE Transactions on Neural Networks and learning systems,journals/tnn,B
IJAR,International Journal of Approximate Reasoning,journals/ijar,B
JAIR,Journal of Artificial Intelligence Research,journals/jair,B
,Journal of Automated Reasoning,journals/jar,B
JSLHR,"Journal of Speech, Language, and Hearing Research",,B
,Machine Learning,journals/ml,B
,Neural Computation,journals/neco,B
,Neural Networks,journals/nn,B
,Pattern Recognition,conf/par,B
TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,journals/talip,C
,Applied Intelligence,journals/apin,C
AIM,Artificial Intelligence in Medicine,journals/artmed,C
,Artificial Life,journals/alife,C
,Computational Intelligence,journals/ci,C
,Computer Speech and Language,journals/csl,C
,Connection Science,journals/connection,C
DSS,Decision Support Systems,journals/dss,C
EAAI,Engineering Applications of Artificial Intelligence,journals/eaai,C
,Expert Systems,journals/es,C
ESWA,Expert Systems with Applications,journals/eswa,C
,Fuzzy Sets and Systems,journals/fss,C
TG,IEEE Transactions on Games,journals/tciaig,C
IET-CVI,IET Computer Vision,journals/iet-cvi,C
,IET Signal Processing,journals/iet-spr,C
IVC,Image and Vision Computing,journals/ivc,C
IDA,Intelligent Data Analysis,journals/ida,C
IJCIA,International Journal of Computational Intelligence and Applications,journals/ijcia,C
IJIS,International Journal of Intelligent Systems,journals/ijis,C
IJNS,International Journal of Neural Systems,journals/ijns,C
IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,journals/ijprai,C
IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",journals/ijufks,C
IJDAR,International Journal on Document Analysis and Recognition,journals/ijdar,C
JETAI,Journal of Experimental and Theoretical Artificial Intelligence,journals/jetai,C
KBS,Knowledge-Based Systems,journals/kbs,C
,Machine Translation,journals/mt,C
,Machine Vision and Applications,journals/mva,C
,Natural Computing,journals/nc,C
NLE,Natural Language Engineering,journals/nle,C
NCA,Neural Computing & Applications,journals/nca,C
NPL,Neural Processing Letters,journals/npl,C
,Neurocomputing,journals/ijon,C
PAA,Pattern Analysis and Applications,journals/paa,C
PRL,Pattern Recognition Letters,journals/prl,C
,Soft Computing,journals/soco,C
WI,Web Intelligence,journals/wias,C
AAAI,AAAI Conference on Artificial Intelligence,conf/aaai,A
NeurIPS,Annual Conference on Neural Information Processing Systems,conf/nips,A
ACL,Annual Meeting of the Association for Computational Linguistics,conf/acl,A
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,conf/cvpr,A
ICCV,International Conference on Computer Vision,conf/iccv,A
ICML,International Conference on Machine Learning,conf/icml,A
IJCAI,International Joint Conference on Artificial Intelligence,conf/ijcai,A
COLT,Annual Conference on Computational Learning Theory,conf/colt,B
EMNLP,Conference on Empirical Methods in Natural Language Processing,conf/emnlp,B
ECAI,European Conference on Artificial Intelligence,conf/ecai,B
ECCV,European Conference on Computer Vision,conf/eccv,B
ICRA,IEEE International Conference on Robotics and Automation,conf/icra,B
ICAPS,International Conference on Automated Planning and Scheduling,conf/aips,B
ICCBR,International Conference on Case-Based Reasoning and Development,conf/iccbr,B
COLING,International Conference on Computational Linguistics,conf/coling,B
KR,International Conference on Principles of Knowledge Representation and Reasoning,conf/kr,B
UAI,International Conference on Uncertainty in Artificial Intelligence,conf/uai,B
AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,conf/atal,B
PPSN,Parallel Problem Solving from Nature,conf/ppsn,B
AISTATS,Artificial Intelligence and Statistics,conf/aistats,C
ACCV,Asian Conference on Computer Vision,conf/accv,C
ACML,Asian Conference on Machine Learning,conf/acml,C
BMVC,British Machine Vision Conference,conf/bmvc,C
NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,conf/nlpcc,C
CoNLL,Conference on Computational Natural Language Learning,conf/conll,C
GECCO,Genetic and Evolutionary Computation Conference,conf/gecco,C
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,conf/ictai,C
IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,conf/iros,C
ALT,International Conference on Algorithmic Learning Theory,conf/alt,C
ICANN,International Conference on Artificial Neural Networks,conf/icann,C
FG,International Conference on Automatic Face and Gesture Recognition,conf/fgr,C
ICDAR,International Conference on Document Analysis and Recognition,conf/icdar,C
ILP,International Conference on Inductive Logic Programming,conf/ilp,C
KSEM,"International conference on Knowledge Science,Engineering and Management",conf/ksem,C
ICONIP,International Conference on Neural Information Processing,conf/iconip,C
ICPR,International Conference on Pattern Recognition,conf/icpr,C
ICB,International Joint Conference on Biometrics,conf/icb,C
IJCNN,International Joint Conference on Neural Networks,conf/ijcnn,C
PRICAI,Pacific Rim International Conference on Artificial Intelligence,conf/pricai,C
NAACL,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,conf/naacl,C
TOCHI,ACM Transactions on Computer-Human Interaction,journals/tochi,A
IJHCS,International Journal of Human Computer Studies,journals/ijmms,A
CSCW,Computer Supported Cooperative Work,journals/cscw,B
HCI,Human Computer Interaction,journals/hhci,B
,IEEE Transactions on Human-Machine Systems,journals/thms,B
IWC,Interacting with Computers,journals/iwc,B
IJHCI,International Journal of Human-Computer Interaction,journals/ijhci,B
UMUAI,User Modeling and User-Adapted Interaction,journals/umuai,B
BIT,Behaviour & Information Technology,journals/behaviourIT,C
PUC,Personal and Ubiquitous Computing,journals/puc,C
PMC,Pervasive and Mobile Computing,journals/percom,C
CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,conf/cscw,A
CHI,ACM Conference on Human Factors in Computing Systems,conf/chi,A
UbiComp,ACM International Conference on Ubiquitous Computing,conf/huc,A
GROUP,ACM Conference on Supporting Group Work,conf/group,B
IUI,ACM International Conference on Intelligent User Interfaces,conf/iui,B
ITS,ACM International Conference on Interactive Tabletops and Surfaces,conf/tabletop,B
UIST,ACM Symposium on User Interface Software and Technology,conf/uist,B
ECSCW,European Conference on Computer Supported Cooperative Work,conf/ecscw,B
PERCOM,IEEE International Conference on Pervasive Computing and Communications,conf/percom,B
MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,conf/mhci,B
DIS,ACM Conference on Designing Interactive Systems,conf/ACMdis,C
ICMI,ACM International Conference on Multimodal Interaction,conf/icmi,C
ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,conf/assets,C
GI,Graphics Interface conference,conf/graphicsinterface,C
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,conf/uic,C
,IEEE World Haptics Conference,conf/haptics,C
INTERACT,IFIP TC13 Conference on Human-Computer Interaction,conf/interact,C
IDC,Interaction Design and Children,conf/acmidc,C
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",conf/colcom,C
CSCWD,International Conference on Computer Supported Cooperative Work in Design,conf/cscwd,C
CoopIS,International Conference on Cooperative Information Systems,conf/coopis,C
MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing,Networking and Services",conf/mobiquitous,C
AVI,International Working Conference on Advanced Visual Interfaces,conf/avi,C
JACM,Journal of the ACM,journals/jacm,A 
Proc. IEEE,Proceedings of the IEEE,journals/pieee,A 
,Bioinformatics,journals/bioinformatics,B
,Briefings in Bioinformatics,journals/bib,B
Cognition,Cognition: International Journal of Cognitive Science,,B
TASAE,IEEE Transactions on Automation Science and Engineering,journals/tase,B
TGARS,IEEE Transactions on Geoscience and Remote Sensing,journals/tgrs,B
TITS,IEEE Transactions on Intelligent Transportation Systems,journals/tits,B
TMI,IEEE Transactions on Medical Imaging,journals/tmi,B
TR,IEEE Transactions on Robotics,journals/trob,B
TCBB,IEEE-ACM Transactions on Computational Biology and Bioinformatics,journals/tcbb,B
JCST,Journal of Computer Science and Technology,journals/jcst,B
JAMIA,Journal of the American Medical Informatics Association,journals/jamia,B
,PLOS Computational Biology,journals/ploscb,B
,Science China Information Sciences,journals/chinaf,B
,The Computer Journal,journals/cj,B
,World Wide Web Journal,journals/wwwj,B
,BMC Bioinformatics,journals/bmcbi,C
,Cybernetics and Systems,journals/cas,C
FCS,Frontiers of Computer Science,journals/fcsc,C
,IEEE Geoscience and Remote Sensing Letters,journals/lgrs,C
,JBHI,journals/titb,C
,TBD,journals/tbd,C
,IET Intelligent Transport Systems,,C
,JBI,journals/jbi,C
,Medical Image Analysis,journals/mia,C
WWW,International World Wide Web Conferences,conf/www,A
RTSS,Real-Time Systems Symposium,conf/rtss,A
CogSci,Cognitive Science Society Annual Conference,conf/cogsci,B
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,conf/bibm,B
EMSOFT,International Conference on Embedded Software,conf/emsoft,B
ISMB,International conference on Intelligent Systems for Molecular Biology,conf/ismb,B
RECOMB,International Conference on Research in Computational Molecular Biology,conf/recomb,B
AMIA,American Medical Informatics Association Annual Symposium,conf/amia,C
APBC,Asia Pacific Bioinformatics Conference,conf/apbc,C
,IEEE International Conference on Big Data,conf/bigdataconf,C
,IEEE International Conference on Cloud Computing,conf/IEEEcloud,C
SMC,"IEEE International Conference on Systems, Man, and Cybernetics",conf/smc,C
COSIT,International Conference on Spatial Information Theory,conf/cosit,C
ISBRA,International Symposium on Bioinformatics Research and Applications,conf/isbra,C
